"","Yearround","Handicap","indicator","Lat","Long"
"302","Yes","No",1,40.6963853,-73.986125
"303","Yes","No",1,40.5969589,-73.9573817
"304","Yes","No",1,40.714993,-73.960328
"305","Yes","No",1,40.671778,-73.966774
"306","Yes","No",1,40.660673,-73.903993
"307","Yes","No",1,40.62297,-73.94641
"308","Yes","No",1,40.6744138,-73.9121896
"309","Yes","No",1,40.6939264,-73.9715243
"310","Yes","No",1,40.656026,-73.905951
"311","Yes","No",1,40.6382216,-73.9380028
"312","Yes","No",1,40.650273,-73.976452
"313","Yes","No",1,40.6772802,-74.0094471
"314","Yes","No",1,40.6772802,-74.0094471
"315","Yes","No",1,40.709785,-73.9559123
"316","Yes","No",1,40.7064875,-73.9615144
"317","Yes","No",1,40.6557697,-73.9474387
"318","Yes","Not Available",1,40.626353,-74.036105
"319","Yes","No",1,40.684971,-73.918769
"320","Yes","Not Available",1,40.661698,-73.989475
"321","Yes","No",1,40.692846,-73.95765
"322","Yes","Yes",1,40.7064848,-73.947371
"323","Yes","No",1,40.6973709,-73.948184
"324","Yes","No",1,40.645532,-74.0123851
"325","Yes","No",1,40.5732096,-73.9929283
"326","Yes","Yes",1,40.6881981,-73.9111814
"327","Yes","No",1,40.648008,-73.93292
"328","Yes","Not Available",1,40.689651,-73.999566
"329","Yes","Yes",1,40.695402,-73.966711
"330","Yes","No",1,40.7151949,-73.9640858
"331","Yes","No",1,40.6944871,-73.94692
"332","Yes","Yes",1,40.5925244,-73.9365332
"333","Yes","Yes",1,40.7312764,-73.8516467
"334","Yes","No",1,40.755735,-73.926316
"335","Yes","No",1,40.760674,-73.911527
"336","Yes","Yes",1,40.768416,-73.921227
"337","Yes","No",1,40.782421,-73.777271
"338","Yes","Yes",1,40.773684,-73.784735
"339","Yes","No",1,40.5849818,-73.8251811
"340","Yes","No",1,40.7215183,-73.7578984
"341","Yes","No",1,40.7124413,-73.7988958
"342","Yes","No",1,40.7493312,-73.7223177
"343","Yes","No",1,40.7567232,-73.7281103
"344","Yes","No",1,40.7466119,-74.0043308
"345","Yes","No",1,40.7833263,-73.807903
"346","Yes","No",2,40.7543568,-73.8794598
"347","Yes","No",1,40.7294578,-73.8799463
"348","Yes","Yes",1,40.7367631,-73.7683784
"349","Yes","No",1,40.7727441,-73.8976184
"350","Yes","No",1,40.757111,-73.933044
"351","Yes","Yes",1,40.765544,-73.870759
"352","Yes","Yes",2,40.7186362,-73.7954966
"353","Yes","No",1,40.7309791,-73.8059729
"354","Yes","No",1,40.6913888,-73.8534845
"355","Yes","No",1,40.735575,-73.775972
"356","Yes","Not Available",2,40.7714722,-73.8172937
"357","Yes","No",1,40.7397136,-73.840785
"358","Yes","Not Available",1,40.7717904,-73.9343288
"359","Yes","Not Available",2,40.5831381,-73.8226613
"360","Yes","Yes",1,40.664767,-73.850922
"361","Yes","No",1,40.7489054,-73.8972181
"362","Yes","No",1,40.7928327,-73.8518567
"363","Yes","No",1,40.706952,-73.75299
"364","Yes","No",1,40.741262,-73.776427
"365","Yes","No",1,40.7120075,-73.8216889
"366","Yes","Not Available",1,40.7357639,-73.8567468
"367","Yes","Yes",1,40.774225,-73.767632
"368","Yes","No",1,40.7473524,-73.820586
"369","Yes","Not Available",1,40.747474,-73.910586
"370","Yes","No",1,40.6860837,-73.853117
"371","Yes","No",2,40.6669522,-73.7957487
"372","Yes","Not Available",2,40.7282239,-73.7948516
"373","Yes","No",2,40.631055,-73.62462
"374","Yes","Not Available",1,40.7556465,-73.8547709
"375","Yes","No",1,40.76247,-73.734383
"376","Yes","Yes",1,40.7559225,-73.8260082
"377","Yes","No",1,40.693704,-73.795286
"378","Yes","No",1,40.7571164,-73.7715039
"379","Yes","No",1,40.690865,-73.839237
"380","Yes","Yes",1,40.598722,-73.767504
"381","Yes","No",1,40.6746737,-73.7564275
"382","Yes","Not Available",1,40.7472832,-73.9486568
"383","Yes","No",1,40.685384,-73.770036
"384","Yes","No",1,40.680689,-73.77472
"385","Yes","No",1,40.681596,-73.83901
"386","Yes","Not Available",1,40.720411,-73.860036
"387","Yes","No",1,40.757315,-73.87845
"388","Yes","Not Available",1,40.726268,-73.808249
